Admin Code,AreaName,Region,Bus and coach stops,"Bus stops per 100,000 people"
20,Gwynedd,W,1822,1534
142,Eilean Siar,S,394,1504
114,Argyll & Bute,S,1344,1493
118,Dumfries & Galloway,S,2014,1356
113,Angus,S,1425,1292
135,Perth & Kinross,S,1868,1280
12,Carmarthenshire,W,2273,1257
94,Northumberland,NE,3909,1257
33,Monmouthshire,W,991,1126
63,Warrington,NW,2200,1112
24,Isle of Anglesey,W,764,1110
25,Isle of Wight,SE,1543,1101
115,Scottish Borders,S,1239,1099
128,Highland,S,2358,1069
13,Ceredigion,W,801,1048
97,Shropshire,WM,3052,1046
81,Gloucestershire,SW,6140,1042
126,Fife,S,3764,1035
23,Herefordshire,WM,1852,1034
78,County Durham,NE,5232,1033
134,Orkney Islands,S,206,1030
92,North Yorkshire,Y,6142,1028
64,West Berkshire,SE,1537,1005
75,Derbyshire,EM,7614,1002
73,Cornwall,SW,5231,985
30,Merthyr Tydfil,W,543,975
89,Lincolnshire,EM,6764,969
108,Wiltshire,SW,4289,940
14,Conwy,W,1045,938
45,Powys,W,1231,935
101,Suffolk,EA,6635,929
140,Stirling,S,819,923
112,Aberdeenshire,S,2210,908
130,Midlothian,S,727,900
77,Dorset,SW,3566,883
74,Cumbria,NE,4343,877
125,Falkirk,S,1314,862
95,Nottinghamshire,EM,6587,848
107,West Yorkshire,Y,18770,843
67,Wrexham,W,1120,841
34,Neath Port Talbot,W,1152,838
60,Torbay,SW,1089,813
131,Moray,S,703,802
76,Devon,SW,5989,801
98,Somerset,SW,4169,796
152,Cheshire West & Chester,NW,2546,780
120,East Ayrshire,S,934,777
19,Flintshire,W,1156,771
61,Torfaen,W,699,771
99,South Yorkshire,Y,10145,770
132,North Ayrshire,S,1036,765
40,Pembrokeshire,W,893,761
4,Blaenau Gwent,W,520,758
91,Norfolk,EA,6468,758
137,Shetland Islands,S,168,757
56,Swansea,W,1748,756
122,East Lothian,S,722,746
138,South Ayrshire,S,826,741
106,West Sussex,SE,5822,734
83,Greater Manchester,NW,19067,733
62,Vale of Glamorgan,W,911,731
1,Bath & North East Somerset,SW,1285,723
15,Darlington,NE,719,716
16,Denbighshire,W,691,715
22,Hartlepool,NE,649,714
42,Plymouth,SW,1826,711
10,Caerphilly,W,1227,710
119,Dundee,S,1013,706
55,Stoke-on-Trent,WM,1669,699
100,Staffordshire,WM,5742,693
58,Telford & Wrekin,WM,1119,689
2,Blackburn with Darwen,NW,950,679
37,North Lincolnshire,EM,1093,679
72,Cheshire East,NW,2457,677
109,Worcestershire,WM,3715,668
96,Oxfordshire,SE,4229,660
88,Leicestershire,EM,4237,657
87,Lancashire,NW,7661,657
104,Warwickshire,WM,3504,655
85,Hertfordshire,SE,7147,652
41,Peterborough,EM,1110,648
116,Clackmannanshire,S,327,648
48,Rhondda Cynon Taff,W,1517,647
111,Aberdeen,S,1381,646
47,Redcar & Cleveland,NE,875,636
69,Bedford,SE,1004,635
129,Inverclyde,S,508,633
70,Buckinghamshire,SE,3129,633
84,Hampshire,SW,8116,629
93,Northamptonshire,EM,4289,627
43,Poole,SW,875,620
39,Nottingham,EM,1855,617
7,Bridgend,W,827,616
38,North Somerset,SW,1274,609
103,Tyne & Wear,NE,6730,608
151,Central Bedfordshire,SE,1527,604
51,South Gloucestershire,SW,1581,603
127,Glasgow,S,3534,601
17,Derby,EM,1464,600
79,East Sussex,SE,3059,597
68,York,Y,1182,595
49,Rutland,EM,227,591
102,Surrey,SE,6579,591
3,Blackpool,NW,824,589
136,Renfrewshire,S,993,584
54,Stockton-on-Tees,NE,1100,576
71,Cambridgeshire,EA,3440,567
80,Essex,SE,7916,566
35,Newport,W,786,560
66,Wokingham,SE,906,560
21,Halton,NW,659,555
90,Merseyside,NW,7410,549
57,Swindon,SW,1090,548
32,Milton Keynes,SE,1297,548
11,Cardiff,W,1840,547
5,Bournemouth,SW,894,542
141,West Lothian,S,927,542
26,Kingston upon Hull,Y,1383,527
65,Windsor & Maidenhead,SE,757,526
124,Edinburgh,S,2510,525
36,North East Lincolnshire,EM,798,508
133,North Lanarkshire,S,1654,507
86,Kent,SE,7152,507
139,South Lanarkshire,S,1564,503
18,East Riding of Yorkshire,Y,1683,499
27,Leicester,EM,1515,497
8,Brighton & Hove,SE,1270,496
31,Middlesbrough,NE,667,475
53,Southend-on-Sea,SE,777,473
121,East Dunbartonshire,S,492,470
123,East Renfrewshire,S,418,469
28,Luton,SE,900,463
46,Reading,SE,701,462
117,West Dunbartonshire,S,400,440
52,Southampton,SW,945,399
9,Bristol,SW,1721,397
6,Bracknell Forest,SE,455,395
29,Medway,SE,1003,394
59,Thurrock,SE,592,377
50,Slough,SE,452,352
44,Portsmouth,SW,634,312
82,Greater London,L,24122,311
105,West Midlands,WM,14362,264
"SOURCE: NPTDR

Download this data",,,,
