"","modyear","del","new","pen","rev","change"
"2","1994",NA,5,NA,NA,NA
"3","1995",31,116,NA,NA,85
"4","1996",1,7,NA,NA,6
"5","1997",8,6,NA,NA,-2
"6","1998",19,210,NA,NA,191
"7","1999",7,66,NA,NA,59
"8","2000",NA,NA,NA,10,NA
"9","2001",NA,2,NA,2,NA
"10","2002",17,569,NA,1,552
"11","2003",132,1322,1,8,1190
"12","2004",116,1383,NA,193,1267
"13","2005",447,1070,NA,263,623
"14","2006",391,913,NA,2754,522
"15","2007",336,7888,NA,6514,7552
"16","2008",689,706,NA,18354,17
"17","2009",1200,2132,NA,24383,932
"18","2010",1254,947,4,26110,-307
"19","2011",810,1190,1,25933,380
"20","2012",574,1486,2,11479,912
"21","2013",1370,3723,5,12284,2353
"22","2014",1322,7778,1,10527,6456
"23","2015",1248,10397,1,12561,9149
"24","2016",3901,10536,1,29451,6635
"25","2017",1584,8254,NA,26408,6670
"26","2018",3441,10062,NA,24556,6621
"27","2019",1696,9725,NA,24161,8029
"28","2020",80,14690,NA,9812,14610
